epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate,epoch_time_sec
1,0.7452725172042847,0.8193134665489197,0.5124388337135315,0.31100478768348694,0.4879406988620758,0.773452877998352,0.0010000000474974513,40.5938663482666
2,0.7808676362037659,0.862582802772522,0.45164692401885986,0.31100478768348694,0.7276976704597473,0.9709206819534302,0.0010000000474974513,4.1169960498809814
3,0.8020022511482239,0.8832777738571167,0.41619300842285156,0.31100478768348694,0.3283119797706604,1.252469539642334,0.0010000000474974513,4.168172359466553
4,0.8275862336158752,0.8947827816009521,0.4030984044075012,0.31100478768348694,0.31024304032325745,2.199873447418213,0.0010000000474974513,4.156828880310059
5,0.8292547464370728,0.909267008304596,0.3771880567073822,0.4736842215061188,0.2801682651042938,0.9583213925361633,0.0010000000474974513,4.26492714881897
6,0.8392658233642578,0.9158438444137573,0.3636094629764557,0.22966507077217102,0.2294604480266571,1.2668288946151733,0.0005000000237487257,4.361715316772461
7,0.8598442673683167,0.929313600063324,0.3339897394180298,0.490430623292923,0.2860844135284424,0.9913626313209534,0.0005000000237487257,4.414526462554932
8,0.8620689511299133,0.9354514479637146,0.3148023188114166,0.2751196026802063,0.24361646175384521,1.1143038272857666,0.0005000000237487257,4.261609077453613
9,0.850389301776886,0.9277126789093018,0.33482638001441956,0.2918660342693329,0.46387550234794617,1.0482945442199707,0.0005000000237487257,4.147230386734009
10,0.8631812930107117,0.943406879901886,0.2973135709762573,0.6148325204849243,0.4733707308769226,0.820244312286377,0.0002500000118743628,4.090770721435547
