epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.6717197895050049,0.7373208999633789,0.6039701104164124,0.5181818008422852,0.5269190073013306,0.743920624256134,15.697655916999793,frozen,1
2,0.7773131132125854,0.8598118424415588,0.4907900094985962,0.5666666626930237,0.5611864328384399,0.710192084312439,9.30789633400127,frozen,2
3,0.8128593564033508,0.8895465135574341,0.44413647055625916,0.5909090638160706,0.5892095565795898,0.704396665096283,9.12879920800333,frozen,3
4,0.8301097750663757,0.9118579626083374,0.40150007605552673,0.6545454263687134,0.6100365519523621,0.6757115721702576,9.038895792000403,frozen,4
5,0.8431782722473145,0.9215366840362549,0.38041993975639343,0.6060606241226196,0.6138249635696411,0.6977841854095459,9.0702308750042,frozen,5
6,0.8531103134155273,0.9283079504966736,0.36448603868484497,0.6242424249649048,0.6432188749313354,0.6696258187294006,8.942900374997407,frozen,6
7,0.8593831658363342,0.9336987733840942,0.3536921441555023,0.6424242258071899,0.6340237855911255,0.6793636083602905,8.956679957998858,frozen,7
8,0.8625196218490601,0.938584566116333,0.33918318152427673,0.6606060862541199,0.6641601324081421,0.6580407619476318,8.86374920799426,frozen,8
9,0.8750653266906738,0.9432353973388672,0.3276965618133545,0.6242424249649048,0.6551743745803833,0.6741687655448914,9.122212165995734,frozen,9
10,0.8808154463768005,0.9471096396446228,0.3142193555831909,0.6515151262283325,0.6641029715538025,0.666260838508606,8.88128512500407,frozen,10
11,0.8750653266906738,0.9485726356506348,0.30899161100387573,0.6606060862541199,0.6910409331321716,0.6431310176849365,8.876245667001058,frozen,11
12,0.8823837041854858,0.9509018659591675,0.30315840244293213,0.6363636255264282,0.6567735075950623,0.6887080073356628,8.944879540998954,frozen,12
13,0.8797699809074402,0.9483808279037476,0.3051254153251648,0.6515151262283325,0.6542605757713318,0.6929923295974731,9.503367833000084,frozen,13
14,0.882906436920166,0.9504094123840332,0.29994380474090576,0.6515151262283325,0.6700046062469482,0.6793714165687561,9.4787565000006,frozen,14
15,0.8902247548103333,0.9544394016265869,0.2884025573730469,0.6545454263687134,0.6697189807891846,0.6861162781715393,9.451422209000157,frozen,15
1,0.8860428929328918,0.9509024024009705,0.2986976206302643,0.6515151262283325,0.6696428060531616,0.6857701539993286,19.68784733299981,finetune,16
2,0.8938839435577393,0.9591082334518433,0.2731781303882599,0.6515151262283325,0.6652451753616333,0.7062726020812988,11.205434000003152,finetune,17
3,0.8964976668357849,0.9606510996818542,0.2640921473503113,0.6393939256668091,0.6603145003318787,0.7309533357620239,11.09099375000369,finetune,18
4,0.9153162837028503,0.9711391925811768,0.23191721737384796,0.6636363863945007,0.6720415353775024,0.7398260235786438,11.39027691600495,finetune,19
5,0.9116570949554443,0.9708462953567505,0.2285195142030716,0.6606060862541199,0.6724032759666443,0.7473613023757935,11.116857958004402,finetune,20
