epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate,epoch_time_sec
1,0.7703927755355835,0.8354269862174988,0.5131150484085083,0.4953051507472992,0.7361292243003845,0.8578967452049255,0.0010000000474974513,41.88475155830383
2,0.7794561982154846,0.8626799583435059,0.4628840684890747,0.5,0.762779712677002,0.7742179036140442,0.0010000000474974513,4.17264723777771
3,0.7950654625892639,0.8744534850120544,0.45148956775665283,0.4953051507472992,0.7620522379875183,1.0658564567565918,0.0010000000474974513,4.069573640823364
4,0.8081570863723755,0.8919137120246887,0.4123707115650177,0.4953051507472992,0.7402072548866272,1.2495501041412354,0.0010000000474974513,4.069464445114136
5,0.7995972037315369,0.8888558149337769,0.4203032851219177,0.6830986142158508,0.8217568397521973,0.7069204449653625,0.0010000000474974513,4.1891865730285645
6,0.8162134885787964,0.8949612975120544,0.4074324667453766,0.7746478915214539,0.8834453821182251,0.5015365481376648,0.0010000000474974513,4.1824727058410645
7,0.8096676468849182,0.9025852680206299,0.38976168632507324,0.6009389758110046,0.7623497843742371,0.7304798364639282,0.0010000000474974513,4.138942718505859
8,0.8222557902336121,0.907437264919281,0.38182875514030457,0.6760563254356384,0.8375509977340698,0.6235535144805908,0.0010000000474974513,4.297067880630493
9,0.8393756151199341,0.9161610007286072,0.36445367336273193,0.7065727710723877,0.8691501617431641,0.531689465045929,0.0010000000474974513,4.253140449523926
10,0.8479355573654175,0.9215672016143799,0.35545605421066284,0.7417840361595154,0.8645651340484619,0.6760839819908142,0.0010000000474974513,4.202825546264648
11,0.8449143767356873,0.9252281188964844,0.3435150384902954,0.6173709034919739,0.9373525977134705,0.807201087474823,0.0005000000237487257,4.383295774459839
12,0.8595166206359863,0.9249323606491089,0.34620213508605957,0.65727698802948,0.8991954922676086,0.6830345988273621,0.0005000000237487257,4.392234802246094
13,0.8731117844581604,0.9433404207229614,0.2996993958950043,0.7441314458847046,0.8924059867858887,0.6233140230178833,0.0005000000237487257,4.315011739730835
14,0.8695871233940125,0.9384325742721558,0.31214791536331177,0.8497652411460876,0.926308810710907,0.3595704734325409,0.0005000000237487257,4.35895299911499
15,0.8575025200843811,0.93358314037323,0.3260202705860138,0.7558685541152954,0.9376280903816223,0.5664896368980408,0.0005000000237487257,4.616717576980591
16,0.8761329054832458,0.9468297958374023,0.29548367857933044,0.7253521084785461,0.9282266497612,0.6631093621253967,0.0005000000237487257,4.504026889801025
17,0.882678747177124,0.9518623352050781,0.2809898853302002,0.8544601202011108,0.9110878109931946,0.36023959517478943,0.0005000000237487257,4.567794322967529
18,0.8710976839065552,0.939585268497467,0.3130922317504883,0.7300469279289246,0.865755558013916,1.1789871454238892,0.0005000000237487257,4.655465126037598
19,0.8791540861129761,0.9491382241249084,0.28763705492019653,0.6596243977546692,0.8178992867469788,1.663354754447937,0.0002500000118743628,4.478937864303589
20,0.882678747177124,0.956400990486145,0.2664443850517273,0.8708920478820801,0.9550645351409912,0.304364949464798,0.0002500000118743628,4.418720006942749
21,0.8892245888710022,0.9544277787208557,0.274058073759079,0.8380281925201416,0.9545463919639587,0.34916844964027405,0.0002500000118743628,4.532480955123901
22,0.8796576261520386,0.9497330188751221,0.28464457392692566,0.7816901206970215,0.8610713481903076,0.46379390358924866,0.0002500000118743628,4.882656097412109
23,0.8867069482803345,0.9500458836555481,0.2840590178966522,0.7910798192024231,0.9310702085494995,0.7085602283477783,0.0002500000118743628,4.2800819873809814
24,0.8962739109992981,0.9593867659568787,0.2556474804878235,0.8309859037399292,0.9737352132797241,0.3760599195957184,0.0002500000118743628,4.439429759979248
25,0.8982880115509033,0.9601013660430908,0.2548336982727051,0.8802816867828369,0.9630331993103027,0.29711347818374634,0.0001250000059371814,4.431725025177002
26,0.8967774510383606,0.9589877128601074,0.25613048672676086,0.8802816867828369,0.9558249115943909,0.2896521985530853,0.0001250000059371814,4.242549180984497
27,0.903323233127594,0.9633772373199463,0.24400874972343445,0.8661971688270569,0.9633858799934387,0.3694165050983429,0.0001250000059371814,4.31029200553894
28,0.8982880115509033,0.9600400328636169,0.25560155510902405,0.8802816867828369,0.9691722989082336,0.272563636302948,0.0001250000059371814,4.322106599807739
29,0.8892245888710022,0.9562665224075317,0.2648915946483612,0.8826290965080261,0.9821116924285889,0.2684983015060425,0.0001250000059371814,4.282028436660767
30,0.9053373336791992,0.9641003012657166,0.2409134954214096,0.8661971688270569,0.9754326343536377,0.32053977251052856,0.0001250000059371814,4.326302528381348
31,0.9068479537963867,0.966865599155426,0.23223713040351868,0.8990610241889954,0.965182363986969,0.24696847796440125,0.0001250000059371814,4.346958637237549
32,0.9053373336791992,0.9627053737640381,0.2446732372045517,0.81455397605896,0.932029128074646,0.374584436416626,0.0001250000059371814,4.284564733505249
33,0.9058408737182617,0.9660933017730713,0.23429737985134125,0.8262910842895508,0.9697674512863159,0.35206544399261475,0.0001250000059371814,4.300141096115112
34,0.8952668905258179,0.9612853527069092,0.2512492835521698,0.8192488551139832,0.9192659258842468,0.3616108298301697,0.0001250000059371814,4.399682283401489
35,0.9088620543479919,0.9661962389945984,0.23472216725349426,0.9061033129692078,0.9804033637046814,0.22788609564304352,0.0001250000059371814,5.06775426864624
36,0.9093655347824097,0.9690411686897278,0.22427307069301605,0.8474178314208984,0.9740879535675049,0.4018174409866333,0.0001250000059371814,4.4375529289245605
37,0.9133937358856201,0.9664127826690674,0.23359572887420654,0.8215962648391724,0.9587236642837524,0.42814186215400696,0.0001250000059371814,4.431459188461304
