epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.6424463987350464,0.6958329677581787,0.6544499397277832,0.43939393758773804,0.4865405261516571,0.85796058177948,10.490298332995735,frozen,1
2,0.7187663316726685,0.7978706955909729,0.5425982475280762,0.48787879943847656,0.49272769689559937,0.8151788711547852,6.510679957995308,frozen,2
3,0.7752221822738647,0.8563218712806702,0.4718039929866791,0.5272727012634277,0.5898949503898621,0.7956404089927673,6.710545208996336,frozen,3
4,0.7893361449241638,0.8769428730010986,0.44024473428726196,0.5272727012634277,0.5303267240524292,0.781108021736145,6.571827457999461,frozen,4
5,0.7872451543807983,0.8806940913200378,0.43497148156166077,0.4787878692150116,0.5364948511123657,0.8756410479545593,6.378655833002995,frozen,5
6,0.8201777338981628,0.8984683752059937,0.4063144624233246,0.5757575631141663,0.5931503772735596,0.740919828414917,6.335842583001067,frozen,6
7,0.8301097750663757,0.9129252433776855,0.38062307238578796,0.5484848618507385,0.5821276307106018,0.7862698435783386,6.357012458000099,frozen,7
8,0.8405645489692688,0.919211745262146,0.36739856004714966,0.5545454621315002,0.616318941116333,0.7583295106887817,6.100678959002835,frozen,8
9,0.8322007060050964,0.9154970645904541,0.3728533983230591,0.5090909004211426,0.5690869092941284,0.8432694673538208,6.086449708003784,frozen,9
10,0.8463146686553955,0.9283899068832397,0.34955883026123047,0.521212100982666,0.5794243216514587,0.8901073932647705,6.09008633299527,frozen,10
1,0.8316779732704163,0.9172863960266113,0.3670080304145813,0.6272727251052856,0.6184701919555664,0.73821622133255,12.322838000000047,finetune,11
2,0.8766335844993591,0.9437775611877441,0.3102261424064636,0.5303030014038086,0.5344007015228271,0.9156123995780945,7.362879459004034,finetune,12
3,0.8886565566062927,0.9557964205741882,0.2787688672542572,0.5121212005615234,0.5545042753219604,0.9344698190689087,7.358009124996897,finetune,13
4,0.9001567959785461,0.9648045301437378,0.2490074783563614,0.5909090638160706,0.5742270946502686,0.8995472192764282,7.150284333001764,finetune,14
5,0.917407214641571,0.9766808748245239,0.21082013845443726,0.4909090995788574,0.5146968960762024,1.0926682949066162,7.173043290997157,finetune,15
