epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.630094051361084,0.6818881630897522,0.6705151200294495,0.5,0.5778305530548096,0.8108557462692261,11.413306832997478,frozen,1
2,0.7445141077041626,0.8173311352729797,0.5227153301239014,0.4719626307487488,0.6160717010498047,0.8396794199943542,6.68457175000367,frozen,2
3,0.7716823220252991,0.8549978733062744,0.47010093927383423,0.4392523467540741,0.6089679002761841,0.970149040222168,6.578834959000233,frozen,3
4,0.7967607378959656,0.8828308582305908,0.4282686710357666,0.5981308221817017,0.6392756104469299,0.723216712474823,6.528738875000272,frozen,4
5,0.8343782424926758,0.907176673412323,0.3899476230144501,0.5560747385025024,0.6561406254768372,0.773330569267273,6.507493832999899,frozen,5
6,0.83855801820755,0.9124609231948853,0.3752318322658539,0.5023364424705505,0.6527442932128906,0.9222084879875183,6.377939999998489,frozen,6
7,0.8354231715202332,0.9213249683380127,0.3594909608364105,0.6168224215507507,0.6398589611053467,0.714921236038208,6.445793250000861,frozen,7
8,0.8573668003082275,0.9289419651031494,0.34314775466918945,0.5,0.6394959688186646,0.9696670174598694,6.464534457998525,frozen,8
9,0.8573668003082275,0.934247612953186,0.3322429358959198,0.6542056202888489,0.6945632696151733,0.6761669516563416,6.409974084002897,frozen,9
10,0.861546516418457,0.9362930059432983,0.326026052236557,0.5934579372406006,0.6632314920425415,0.7920307517051697,6.519021375002922,frozen,10
11,0.8563218116760254,0.9299336671829224,0.33621081709861755,0.5490654110908508,0.6560628414154053,0.9216856956481934,6.469498291000491,frozen,11
12,0.8631138801574707,0.9387795925140381,0.3191668391227722,0.59112149477005,0.6342200040817261,0.8070963025093079,6.554003041994292,frozen,12
13,0.861546516418457,0.9395279288291931,0.3163837492465973,0.5560747385025024,0.6405589580535889,0.8582824468612671,6.504131000001507,frozen,13
