epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.6493839621543884,0.6978314518928528,0.6503292322158813,0.5306748747825623,0.5060672760009766,0.777623176574707,12.879540958005236,frozen,1
2,0.7505133748054504,0.8239771723747253,0.505072295665741,0.493865042924881,0.5044950246810913,0.8558993935585022,7.040150374996301,frozen,2
3,0.7823408842086792,0.8723177909851074,0.4401238262653351,0.5306748747825623,0.5311025977134705,0.808036744594574,6.843574750004336,frozen,3
4,0.8069815039634705,0.8976066708564758,0.40048518776893616,0.5521472096443176,0.5299939513206482,0.8226546049118042,6.67711541600147,frozen,4
5,0.8198152184486389,0.9023423194885254,0.38963407278060913,0.5429447889328003,0.5575891733169556,0.8377287983894348,6.669459333999839,frozen,5
