model,training_mode,dataset_config,split_type,fold,accuracy,precision,recall,f1,auroc,recall_malignant,n_params,n_trainable_params,model_size_mb,training_time_sec,avg_epoch_time_sec,inference_time_ms_per_image,end_to_end_inference_time_ms_per_image,model_only_inference_time_ms_per_image,model_only_inference_time_ms_std
efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,2.0,0.8487394957983193,0.8054054054054054,0.9430379746835443,0.8688046647230321,0.9110067601288507,0.9430379746835443,4050852,1281,16.2753963470459,144.00660054200125,9.550998447200012,9.425051611769424,9.425051611769424,6.81686978750804,0.09518592486767159
efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,2.0,0.8470588235294118,0.8032345013477089,0.9430379746835443,0.8675400291120815,0.9102014427657548,0.9430379746835443,4050852,1484641,27.602157592773438,208.74386025000422,10.387819333250809,10.69772836134452,10.69772836134452,6.785547387516999,0.018303128826759003
mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,3.0,0.6436170212765957,0.6165919282511211,0.9016393442622951,0.7323568575233023,0.6912209633521109,0.9016393442622951,2259265,1281,9.194818496704102,40.33128341699921,8.021968166601436,7.307659427311617,7.307659427311617,2.707554687458469,0.15852845034817012
mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,3.0,0.6666666666666666,0.6382978723404256,0.8852459016393442,0.7417582417582418,0.7237799860750681,0.8852459016393442,2259265,1512001,20.727622985839844,84.34398612499353,8.392971633200796,7.592856086872507,7.592856086872507,2.722204687415797,0.057668115894909104
efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,3.0,0.6932624113475178,0.6896551724137931,0.7868852459016393,0.7350689127105666,0.7530856383315399,0.7868852459016393,4050852,1281,16.2753963470459,54.78521683299914,10.901027082998189,10.103088801422038,10.103088801422038,6.800827600000048,0.19482147986759582
efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,3.0,0.723404255319149,0.7018970189701897,0.8491803278688524,0.7685459940652819,0.7952148870181658,0.8491803278688524,4050852,1484641,27.602157592773438,118.848347500003,11.833095399899321,11.647444592205913,11.647444592205913,6.712979687472398,0.1021773129249104
mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,4.0,0.5523385300668151,0.49714285714285716,0.435,0.464,0.5529116465863454,0.435,2259265,1281,9.194818496704102,65.62067391700111,7.2536815784438256,9.120962879724722,9.120962879724722,2.7633343749585038,0.18392242846951598
mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,4.0,0.5367483296213809,0.48130841121495327,0.515,0.4975845410628019,0.5709638554216867,0.515,2259265,1512001,20.727622985839844,112.77301075000287,8.014895383784667,10.852069692653272,10.852069692653272,2.749519275039347,0.07304727630238152
efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,4.0,0.7906458797327395,0.6920289855072463,0.955,0.8025210084033614,0.9413654618473896,0.955,4050852,1281,16.2753963470459,161.2809838749963,10.692998038934213,12.645247031183693,12.645247031183693,6.891340624952136,0.08962779057434112
efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,4.0,0.8396436525612472,0.7601626016260162,0.935,0.8385650224215246,0.9507630522088354,0.935,4050852,1484641,27.602157592773438,298.0492471249963,11.40976170680845,14.813122216033653,14.813122216033653,7.055513537488878,0.2687126797296133
