subtype_name,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp,class_membership,relevant_class_recall
adenosis,444,0.6824324324324325,0.0,0.0,0.0,,0.6824324324324325,,0.6824324324324325,303,141,0,0,benign,0.6824324324324325
tubular_adenoma,247,0.9149797570850202,0.0,0.0,0.0,,0.9149797570850202,,0.9149797570850202,226,21,0,0,benign,0.9149797570850202
papillary_carcinoma,291,0.5738831615120275,1.0,0.5738831615120275,0.7292576419213974,,,0.5738831615120275,,0,0,124,167,malignant,0.5738831615120275
ductal_carcinoma,219,0.9452054794520548,1.0,0.9452054794520548,0.971830985915493,,,0.9452054794520548,,0,0,12,207,malignant,0.9452054794520548
mucinous_carcinoma,271,0.5756457564575646,1.0,0.5756457564575646,0.7306791569086651,,,0.5756457564575646,,0,0,115,156,malignant,0.5756457564575646
phyllodes_tumor,453,0.5916114790286976,0.0,0.0,0.0,,0.5916114790286976,,0.5916114790286976,268,185,0,0,benign,0.5916114790286976
fibroadenoma,287,0.6689895470383276,0.0,0.0,0.0,,0.6689895470383276,,0.6689895470383276,192,95,0,0,benign,0.6689895470383276
lobular_carcinoma,626,0.9217252396166135,1.0,0.9217252396166135,0.9592684954280964,,,0.9217252396166135,,0,0,49,577,malignant,0.9217252396166135
