model,training_mode,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp
mobilenetv2,frozen,2838,0.6187455954897816,0.6095751854349292,0.642501776830135,0.62560553633218,0.6701209933163373,0.5953878406708596,0.642501776830135,0.5953878406708596,852,579,503,904
mobilenetv2,finetuned,2838,0.6131078224101479,0.605604921394395,0.6297085998578535,0.6174216027874564,0.6684055016918999,0.596785464709993,0.6297085998578535,0.596785464709993,854,577,521,886
efficientnetb0,frozen,2838,0.7248062015503876,0.7045751633986929,0.7661691542288557,0.7340823970037453,0.7883612783640945,0.684136967155835,0.7661691542288557,0.684136967155835,979,452,329,1078
efficientnetb0,finetuned,2838,0.7385482734319944,0.7146546158812137,0.7867803837953091,0.7489851150202977,0.8037098127213587,0.6911250873515025,0.7867803837953091,0.6911250873515025,989,442,300,1107
