magnification,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp
40X,712,0.7148876404494382,0.7029972752043597,0.7329545454545454,0.717663421418637,0.7764914772727272,0.6972222222222222,0.7329545454545454,0.6972222222222222,251,109,94,258
100X,743,0.7496635262449529,0.7231503579952268,0.8123324396782842,0.7651515151515151,0.8177161075284399,0.6864864864864865,0.8123324396782842,0.6864864864864865,254,116,70,303
200X,728,0.7527472527472527,0.7381546134663342,0.7978436657681941,0.7668393782383419,0.8246845908174592,0.7058823529411765,0.7978436657681941,0.7058823529411765,252,105,75,296
400X,655,0.7358778625954199,0.6906077348066298,0.8038585209003215,0.7429420505200595,0.7933990129365138,0.6744186046511628,0.8038585209003215,0.6744186046511628,232,112,61,250
