error_type,n,confidence_mean,confidence_std,confidence_median,confidence_min,confidence_max,margin_mean,margin_median
TP,1107,0.8394871603398034,0.13579448926438867,0.8822583556175232,0.500976026058197,0.9987375140190125,0.3394871603398035,0.3822583556175232
TN,989,0.8200111391088837,0.14536884273530246,0.855969324707985,0.5004008710384369,0.999474693904631,0.32001113910888374,0.35596932470798504
FP,442,0.7486980178507205,0.15095585656438584,0.7454919219017029,0.5004087090492249,0.9980356097221376,0.24869801785072052,0.24549192190170288
FN,300,0.7379423121510384,0.14647712324189732,0.7290458530187607,0.5048099756240845,0.9974075031932444,0.23794231215103845,0.22904585301876074
