epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.6560044884681702,0.7171659469604492,0.6297114491462708,0.5093167424201965,0.5946652293205261,0.9078558683395386,9.472469291002199,frozen,1
2,0.7620651125907898,0.8484572172164917,0.479566365480423,0.5527950525283813,0.6731926202774048,0.7854903340339661,6.140317417004553,frozen,2
3,0.8035914897918701,0.8930304050445557,0.41534629464149475,0.5310559272766113,0.6937728524208069,0.9089946150779724,6.09501283300051,frozen,3
4,0.8333333134651184,0.9160702228546143,0.37333521246910095,0.5527950525283813,0.7031882405281067,0.943023681640625,5.841979500000889,frozen,4
5,0.8439955115318298,0.9219319820404053,0.36103555560112,0.590062141418457,0.7196996212005615,0.8414391279220581,5.653967875005037,frozen,5
6,0.8546577095985413,0.9333144426345825,0.3357906937599182,0.5745341777801514,0.7211542129516602,0.9098299145698547,5.992004667001311,frozen,6
