epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate,epoch_time_sec
1,0.692427396774292,0.7632133364677429,0.5920609831809998,0.5162689685821533,0.10930964350700378,0.9352872967720032,0.0010000000474974513,35.744921922683716
2,0.7505186796188354,0.8340774774551392,0.49938908219337463,0.5162689685821533,0.46043258905410767,1.9569436311721802,0.0010000000474974513,4.267041444778442
3,0.7515560388565063,0.8409726023674011,0.49397844076156616,0.5162689685821533,0.8950804471969604,1.733003854751587,0.0010000000474974513,4.337453842163086
4,0.7681535482406616,0.8463268280029297,0.48616793751716614,0.6420824527740479,0.9972208738327026,0.45932576060295105,0.0010000000474974513,4.298689365386963
5,0.7671161890029907,0.8589560985565186,0.46207213401794434,0.6681128144264221,0.9858593344688416,0.5001827478408813,0.0010000000474974513,4.415740966796875
6,0.7873443961143494,0.8782669305801392,0.43396055698394775,0.6529284119606018,0.8921317458152771,0.6861217617988586,0.0010000000474974513,4.525694131851196
7,0.8029045462608337,0.8894628286361694,0.4128078818321228,0.8416485786437988,0.9948939085006714,0.36942151188850403,0.0010000000474974513,4.582027196884155
8,0.7982364892959595,0.8801640868186951,0.4327934682369232,0.8329718112945557,0.932104229927063,0.46941450238227844,0.0010000000474974513,4.625081539154053
9,0.8189833760261536,0.9079741835594177,0.3839488625526428,0.6811279654502869,0.9230131506919861,0.8842430114746094,0.0010000000474974513,4.543154954910278
10,0.8226141333580017,0.9021663069725037,0.3951334059238434,0.924078106880188,0.9694671630859375,0.21698607504367828,0.0010000000474974513,4.44854736328125
11,0.8298755288124084,0.9153454303741455,0.36636093258857727,0.9718004465103149,0.9982948899269104,0.0955643579363823,0.0010000000474974513,4.296629428863525
12,0.8319501876831055,0.9147622585296631,0.37229496240615845,0.9023861289024353,0.9791045188903809,0.239223450422287,0.0010000000474974513,4.326503753662109
13,0.8303942084312439,0.9140750765800476,0.3729361891746521,0.9674620628356934,0.9965802431106567,0.14661461114883423,0.0010000000474974513,4.187614679336548
14,0.8521783947944641,0.9295544624328613,0.33738821744918823,0.8286334276199341,0.9738950133323669,0.5827839374542236,0.0010000000474974513,5.071356773376465
15,0.8521783947944641,0.9283900856971741,0.3417116105556488,0.5010846257209778,0.7042524814605713,1.0480777025222778,0.0010000000474974513,4.256967782974243
16,0.8578838109970093,0.9416854381561279,0.3077516257762909,0.6702820062637329,0.9058296084403992,1.3131028413772583,0.0005000000237487257,4.168833255767822
17,0.8584024906158447,0.9402994513511658,0.31260615587234497,0.5010846257209778,0.48414477705955505,1.2237627506256104,0.0005000000237487257,4.144351005554199
18,0.8635892271995544,0.9416306018829346,0.30692988634109497,0.8524945974349976,0.9320005178451538,0.40464362502098083,0.0005000000237487257,4.220013380050659
19,0.8609958291053772,0.9435359239578247,0.30571770668029785,0.5791757106781006,0.6219995021820068,1.2627954483032227,0.0005000000237487257,4.223554611206055
