epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate,epoch_time_sec
1,0.7328802943229675,0.8151721954345703,0.5259416103363037,0.4060606062412262,0.8299382925033569,1.2710590362548828,0.0010000000474974513,35.00011205673218
2,0.7799268364906311,0.8545389771461487,0.45177873969078064,0.4060606062412262,0.925830066204071,0.8826399445533752,0.0010000000474974513,4.34669828414917
3,0.7726084589958191,0.8611388802528381,0.4450457692146301,0.4060606062412262,0.645065426826477,1.0201293230056763,0.0010000000474974513,4.192012071609497
4,0.7872451543807983,0.8783977627754211,0.4215977191925049,0.4060606062412262,0.8308330774307251,0.7898879647254944,0.0010000000474974513,4.190091133117676
5,0.7976999282836914,0.8799175024032593,0.4188917577266693,0.4060606062412262,0.745183527469635,0.7598145604133606,0.0010000000474974513,4.360014200210571
6,0.8013591170310974,0.8896815776824951,0.40032505989074707,0.6030303239822388,0.8655574321746826,0.7863043546676636,0.0010000000474974513,4.4334564208984375
7,0.8175640106201172,0.8944301605224609,0.3954615890979767,0.7515151500701904,0.8379149436950684,0.5026105642318726,0.0010000000474974513,5.175827980041504
8,0.8071092367172241,0.8938208818435669,0.39432933926582336,0.7424242496490479,0.9226126670837402,0.47802674770355225,0.0010000000474974513,4.511370658874512
9,0.817041277885437,0.9057981371879578,0.37660959362983704,0.7181817889213562,0.7485721707344055,0.5881556868553162,0.0010000000474974513,4.40952467918396
10,0.8238369226455688,0.9113272428512573,0.3752021789550781,0.7515151500701904,0.8887640237808228,0.5376640558242798,0.0010000000474974513,4.956406354904175
