variant,accuracy_mean,f1_mean,auroc_mean,recall_malignant_mean,recall_benign_mean,training_time_sec_mean,model_only_inference_time_ms_per_image_mean,delta_accuracy,delta_f1,delta_auroc,delta_recall_malignant,delta_recall_benign
EfficientNetB0 fine-tuned original,0.7457123456666851,0.7401841168669778,0.8274764269269266,0.7820179617852415,0.7080872062024332,191.75179271660164,6.834279369977594,,,,,
EfficientNetB0 fine-tuned regularized,0.7234425779625229,0.6920536326040982,0.803092151169829,0.6923386032389124,0.7598061791803105,209.67543875799893,7.5675185400177725,-0.022269767704162224,-0.04813048426287958,-0.024384275757097562,-0.08967935854632914,0.05171897297787731
