epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.6270747184753418,0.6637235283851624,0.6854437589645386,0.7787418365478516,0.8658477067947388,0.4777149558067322,12.245496000003186,frozen,1
2,0.728215754032135,0.8027007579803467,0.5394680500030518,0.8069414496421814,0.9095696806907654,0.42883700132369995,7.071952541002247,frozen,2
3,0.7520747184753418,0.8376808166503906,0.4954736530780792,0.8004338145256042,0.8687775135040283,0.46584203839302063,6.68691141599993,frozen,3
4,0.7795643210411072,0.8679184913635254,0.4535822868347168,0.7830802798271179,0.8651505708694458,0.46780267357826233,6.652587541997491,frozen,4
5,0.7940871119499207,0.8839208483695984,0.43076348304748535,0.8373101949691772,0.9046236872673035,0.4017404615879059,6.558502582993242,frozen,5
6,0.8215767741203308,0.9060962796211243,0.3946857452392578,0.8091106414794922,0.8846893310546875,0.4513014853000641,6.560459499996796,frozen,6
7,0.8267635107040405,0.9097996950149536,0.3849438726902008,0.8134490251541138,0.8937238454818726,0.4284970760345459,6.522553458002221,frozen,7
8,0.8298755288124084,0.9123420715332031,0.3792656660079956,0.8308026194572449,0.8951840996742249,0.41420629620552063,6.472121999999217,frozen,8
9,0.829356849193573,0.9153411388397217,0.3736448884010315,0.8308026194572449,0.893111526966095,0.41467154026031494,6.512549166000099,frozen,9
1,0.8335062265396118,0.9066606760025024,0.38875851035118103,0.8221257925033569,0.9048875570297241,0.3964586853981018,14.53611829199508,finetune,10
2,0.8443983197212219,0.9354315996170044,0.3284481465816498,0.8221257925033569,0.9045106172561646,0.4124373495578766,8.182558583001082,finetune,11
3,0.8853734731674194,0.9547156095504761,0.2817659378051758,0.8134490251541138,0.8916230201721191,0.42628028988838196,7.8558345419951365,finetune,12
4,0.9081950187683105,0.9705468416213989,0.2346973717212677,0.8221257925033569,0.9023627638816833,0.41622787714004517,7.926945125000202,finetune,13
5,0.9221991896629333,0.9762803316116333,0.20973503589630127,0.8329718112945557,0.9110487103462219,0.4037241041660309,8.423944624999422,finetune,14
