epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,epoch_time_sec,phase,global_epoch
1,0.7115987539291382,0.7984524369239807,0.5600228905677795,0.6401869058609009,0.7420989871025085,0.6369587779045105,15.191695375004201,frozen,1
2,0.8364681005477905,0.907754123210907,0.42559605836868286,0.6822429895401001,0.7617250680923462,0.605154812335968,9.509586375002982,frozen,2
3,0.8641588091850281,0.9327723979949951,0.3688298463821411,0.6752336621284485,0.7514194846153259,0.6463096141815186,9.439599042001646,frozen,3
4,0.8787878751754761,0.9470317363739014,0.33153197169303894,0.6869158744812012,0.743680477142334,0.6100830435752869,9.52271195800131,frozen,4
5,0.8866248726844788,0.954049825668335,0.3084696829319,0.7102803587913513,0.7499417066574097,0.5886290073394775,9.474639583997487,frozen,5
6,0.8955067992210388,0.9563743472099304,0.29133668541908264,0.6939252614974976,0.7574343681335449,0.648364782333374,9.408406167000066,frozen,6
7,0.9022988677024841,0.9629243612289429,0.27394214272499084,0.6962617039680481,0.744263768196106,0.601844847202301,9.406490000001213,frozen,7
8,0.9007314443588257,0.962773859500885,0.26824456453323364,0.7032710313796997,0.7653288841247559,0.628430962562561,9.358725875004893,frozen,8
9,0.9117032289505005,0.969812273979187,0.24778038263320923,0.6985981464385986,0.7614139914512634,0.6433557271957397,9.48569233300077,frozen,9
